invoice_id,invoice_date,delivery_date,store_code,distributor_code,item_number,item_description,uom,quantity,unit_price,extended_price,currency
INV-1001,2026-01-05,2026-01-05,NYC-001,SYSCO_NYC,00012345,"Chicken thighs 10lb",LB,10,"$2.35","$23.50",USD
INV-1001,2026-01-05,2026-01-05,NYC-001,SYSCO_NYC,12346,"Flour Tortilla 12in",CS,2,"18.00","36.00",USD
INV-1001,2026-01-05,2026-01-05,NYC-001,SYSCO_NYC,AVO-01,"Avocado Hass",EACH,24,"0.95","22.80",USD
INV-1002,01/05/2026,2026/01/05,NYC-002,SYSCO_NYC,LIME01,"Lime, fresh",EA,"120","0.20","24.00",USD
INV-1002,01/05/2026,2026/01/05,NYC-002,SYSCO_NYC,CILA-99,"Cilantro bunch",ea,40,"0.35","14.00",USD
INV-1003,2026-01-05,2026-01-05,NJ-001,SYSCO_NYC,SR-ROJA-5LB,"Salsa roja prepared 5lb",LB,"5.0","3.25","16.25",USD
INV-1003,2026-01-05,2026-01-05,NJ-001,SYSCO_NYC,TGBOX9,"TOGO BOX 9in",EA,200,"0.11","22.00",USD
INV-1003,2026-01-05,2026-01-05,NJ-001,SYSCO_NYC,TGBOX9,"TOGO BOX 9in",EA,200,"0.11","22.00",USD
INV-1004,2026-01-05,2026-01-05,NYC-999,SYSCO_NYC,LIME01,"Lime, fresh",EA,60,"0.20","12.00",USD
INV-1005,2026-01-05,2026-01-05,NYC-001,SYSCO_NYC,UNKNOWN-ITEM,"Mystery item",EA,1,"9.99","9.99",USD
